amanecer ,1,20-08-2019,11:26:51,118.2281033506916,110.72378410996494,29.019828188592996,3.169535837383893
centro ,1,20-08-2019,11:25:13,358.9107358560763,44.67496891833133,30.870483301118288,3.6573337621390936
el carmen ,1,20-08-2019,11:29:35,3733989.299092427,37.513174282,80.33859452338436,9.42834915530701
el carmen ,1,31-12-1999,21:00:49,7706984.0,73.0,39.1,16.7
labranza ,2,20-08-2019,11:30:11,3639981.2037554444,71.0135095576,85.59529286358118,8.051889746876027
pedro valdivia ,1,20-08-2019,11:26:30,71.61586124728555,66.3245947220104,34.76926399137996,3.4982037489109876
poniente ,1,20-08-2019,11:33:07,39.850201226695575,38.27684495226532,93.18103270463949,8.498386945295263
poniente ,1,31-12-1999,21:00:43,27.529411764705884,26.176470588235293,80.77059117647057,9.31764705882353
pueblo nuevo ,1,20-08-2019,11:26:40,69.28856400380947,63.92473611563137,23.885547949143497,3.02301094631051
santa rosa ,1,20-08-2019,11:30:07,125.98422735496553,108.65251199168577,30.255663071859438,2.8957704001818216
